,,Issue,Datatype,Type,Group,Path,Name/Label,Description,Data Range,Unit
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.CouplingPoint.No1.Distance,distance between the coupling point and the middle of the first axle,distance between the coupling point and the middle of the first axle,"0 - 25,0 ",Meter
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.CouplingPoint.No1.Height,nominal coupling height over ground for the first coupling point h1,nominal coupling height over ground for the first coupling point h1,"0 - 5,00 ",Meter
,,,float,Sensor,Chassis,Trailer.Chassis.Axle.CouplingPoint.No2.Height,nominal coupling height over ground for the second coupling point h2 for an unloaded vehicle;,nominal coupling height over ground for the second coupling point h2 for an unloaded vehicle; this data is dynamic and indicates the current coupling point height,"0 - 5,00 ",Meter
,,,float,Attribute,Specification,Trailer.Specification.FrontHeight,height from the bottom most point of the chassis to the top most point of the vehicle at the front of the vehicle,height from the bottom most point of the chassis to the top most point of the vehicle at the front of the vehicle,"0 - 5,00 ",Meter
,,,enum,Sensor,Powertrain,Trailer.Powertrain.DriveSystem.Warning.Amber.Status,Amber warning signal,"This signal shall command the request from a towed vehicle to the commercial vehicle to activate the amber warning signal, which indicates certain specified events within the braking equipment of the towed vehicle. A flashing warning signal can be used to signal fault conditions that are related to nonbraking systems, e.g. auxiliary equipment. It shall not be used to signal braking system-relevant faults or status.","OFF
ON
NOT_AVAILABLE", 
,,,enum,Sensor,Powertrain,Trailer.Powertrain.DriveSystem.Warning.Red.Status,Red warning signal,"This parameter requests the towing vehicle to activate the red warning signal, which indicates certain specified failures within the braking equipment of the towed vehicle.","OFF
ON
NOT_AVAILABLE", 
,,,enum,Sensor,Indicator,Trailer.Indicator.Voltage.General.Status,Electrical supply of non-braking systems status,This parameter indicates the current status of the supply voltage of non-braking systems.,"OFF
ON
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Indicator,Trailer.Indicator.Voltage.Brake.Status,Vehicle electrical supply status,"This parameter indicates, if the current status of the supply voltage is sufficient or insufficient for a proper braking function. This also includes overvoltage conditions.","INSUFFICIENT
SUFFICIENT
ERROR
NOT_AVAILABLE", 
,,,float,Sensor,Dynamics,Trailer.Dynamics.Acceleration.Lateral,Lateral acceleration,This parameter indicates the actual lateral acceleration of the vehicle. A positive lateral acceleration value is used when the vehicle is accelerated to the left.,"−12,5  /  12,5 ",MeterPerSquareMeter
,,,,,,,"Level change status, front axle",This parameter indicates the current status of the level change of the body height at the front axle due to any external control request.,"NOT_ACTIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,,,,,,"Level change status, rear axle",This parameter indicates the current status of the level change of the body height at the rear axle due to any external control request.,"NOT_ACTIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,,,,,,Level control status,This parameter indicates the current status of the level control function,"DISABLED
ENABLED
ERROR
NOT_AVAILABLE", 
,,,,,,,Loading ramp approach assistance status,This parameter indicates whether the loading ramp approach assistance is activated. The loading ramp approach assistance measures the distance to the loading ramp while reversing and applies the vehicle brakes accordingly.,"NOT_ACTIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,,,,,,"Nominal vehicle body level, front axle","This parameter indicates the current nominal vehicle body height. In cases when controlled by “level change request, front axle” (see 6.4.8), this value represents the current vehicle body height at the front axle referred to ground level.",0 -  64 255 ,Milimeter
,,,,,,,"Nominal vehicle body level, rear axle","This parameter indicates the current nominal vehicle body height. In cases when controlled by “level change request, rear axle”",0 -  64 255 ,Milimeter
,,,,,,,Normal level,This parameter indicates the current state of the body height normal positions independent of a specific level request.,"NORMAL_LEVEL_1
NORMAL_LEVEL_2
ERROR
NOT_AVAILABLE", 
,,,,,,,Ride height level,This parameter indicates the current body height position status of the vehicle as a response to the ride height request.,"NOT_REQUESTED
REQUESTED
ERROR
NOT_AVAILABLE", 
,,,,,,,Vehicle pneumatic supply status,This parameter indicates if the current status of the pneumatic supply pressure of the reservoir of the braking system is insufficient or sufficient for a proper braking function.,"INSUFFICIENT
SUFFICIENT
ERROR
NOT_AVAILABLE", 
,,,,,,,ROP system status,This parameter indicates whether the ROP system is currently enabled or disabled.,"DISABLED
ENABLED
ERROR
NOT_AVAILABLE", 
,,,float,Attribute,Specification,Trailer.Specification.TotalRearHeight,"total height over ground of the vehicle at the rear of the vehicle, this refers to the rear end of the cargo put directly on the vehicle; this data is dynamic and indicates the current rear total height","total height over ground of the vehicle at the rear of the vehicle, this refers to the rear end of the cargo put directly on the vehicle; this data is dynamic and indicates the current rear total height","0 -5,00 ",Meter
,,,float,Attribute,Specification,Trailer.Specification.TotalFrontHeight,total height over ground at the front of the vehicle,total height over ground at the front of the vehicle,"0 - 5,00 ",Meter
,,,,,,,YC system status,This parameter indicates whether the YC system is currently enabled or disabled.,"DISABLED
ENABLED
ERROR
NOT_AVAILABLE", 
,,,,,,,Traction help (load transfer) status,This parameter indicates the current status of the traction help function.,"INACTIVE
ACTIVE
ERROR
NOT_AVAILABLE", 
,,,float,Attribute,Specification,Trailer.Specification.GroundHeight,height over ground for the floor inside the vehicle at the front end of the floor,height over ground for the floor inside the vehicle at the front end of the floor,"0 - 5,00 ",Meter
,,,float,Sensor,Cargo,Trailer.Cargo.Hold1.Temperature,Cargo hold temperature 1,"This parameter indicates the value of the cargo hold temperature 1 measured by the
temperature recorder.",-40 °C to +40 °C,Celsius
,,,float,Sensor,Cargo,Trailer.Cargo.Hold2.Temperature,Cargo hold temperature 2,"This parameter indicates the value of the cargo hold temperature 2 measured by the
temperature recorder.",-40 °C to +40 °C,Celsius
,,,float,Sensor,Cargo,Trailer.Cargo.Hold3.Temperature,Cargo hold temperature 3,"This parameter indicates the value of the cargo hold temperature 3 measured by the
temperature recorder.",-40 °C to +40 °C,Celsius
,,,float,Sensor,Cargo,Trailer.Cargo.Hold4.Temperature,Cargo hold temperature 4,"This parameter indicates the value of the cargo hold temperature 4 measured by the
temperature recorder.",-40 °C to +40 °C,Celsius
,,,float,Sensor,Cargo,Trailer.Cargo.Hold5.Temperature,Cargo hold temperature 5,"This parameter indicates the value of the cargo hold temperature 5 measured by the
temperature recorder.",-40 °C to +40 °C,Celsius
,,,float,Sensor,Cargo,Trailer.Cargo.Hold6.Temperature,Cargo hold temperature 6,"This parameter indicates the value of the cargo hold temperature 6 measured by the
temperature recorder.",-40 °C to +40 °C,Celsius
,,,float,Sensor,Reefer,Trailer.Reefer.Voltage,Reefer unit battery voltage,This parameter indicates the value of the reefer unit battery voltage.,"0 - 642,55 ",Volt
,,,float,Sensor,Reefer,Trailer.Reefer.Fuel.Level,Reefer unit fuel tank level,This parameter indicates the value of the reefer unit fuel tank level.,0 - 125 ,Percentage
,,,enum,Sensor,Reefer,Trailer.Reefer.Alarm.Status,Reefer unit alarm status,This parameter indicates the reefer unit alarm status.,"WARNING_OFF
WARNING_ON
SHUTDOWN_ALARM_ON", 
,,,enum,Sensor,Reefer,Trailer.Reefer.Evaporator1.Status,Status evaporator 1,This parameter indicates the status evaporator 1.,"STANDBY
COOLING
HEATING
DEFROST", 
,,,enum,Sensor,Reefer,Trailer.Reefer.Evaporator2.Status,Status evaporator 2,This parameter indicates the status evaporator 2,"STANDBY
COOLING
HEATING
DEFROST", 
,,,enum,Sensor,Reefer,Trailer.Reefer.Evaporator3.Status,Status evaporator 3,This parameter indicates the status evaporator 3,"STANDBY
COOLING
HEATING
DEFROST", 
,,,enum,Sensor,Reefer,Trailer.Reefer.Status,Reefer unit status,This parameter indicates the reefer unit status.,"OFF
ON", 
,,,float,Sensor,Reefer,Trailer.Reefer.OperatingHours.StartStop,Reefer unit start/stop operating hours,This parameter indicates the total number of hours the reefer unit start/stop operating hours mode is in.,0 to 16 449 535 ,Hour
,,,float,Sensor,Reefer,Trailer.Reefer.OperatingHours.Engine,Reefer unit diesel engine propulsion system operating hours,This parameter indicates the total number of hours of the reefer unit diesel engine propulsion system operating mode.,0 to 16 449 535 ,Hour
,,,float,Sensor,Reefer,Trailer.Reefer.OperatingHours.LineSupply,Reefer unit line supply operating hours,This parameter indicates the total number of hours of the reefer unit line supply operating mode.,0 to 16 449 535 ,Hour
,,,float,Sensor,Reefer,Trailer.Reefer.OperatingHours.Generator,Reefer unit generator operating hours,This parameter indicates the total number of hours of the reefer unit generator operating mode.,0 to 16 449 535 ,Hour
,,,enum,Sensor,Reefer,Trailer.Reefer.Defrost.Status,Reefer unit defrost cycle on/off,This parameter indicates the on/off status of the reefer unit defrost cycle.,"OFF
ON", 
,,,enum,Sensor,Cargo,Trailer.Cargo.HoldDoor1.Switch,Cargo hold door 1 contact switch,This parameter indicates the closed/open status of the cargo hold door 1 contact switch.,"CLOSED
OPEN", 
,,,enum,Sensor,Cargo,Trailer.Cargo.HoldDoor2.Switch,Cargo hold door 2 contact switch,This parameter indicates the closed/open status of the cargo hold door 2 contact switch.,"CLOSED
OPEN", 
,,,enum,Sensor,Cargo,Trailer.Cargo.HoldDoor3.Switch,Cargo hold door 3 contact switch,This parameter indicates the closed/open status of the cargo hold door 3 contact switch.,"CLOSED
OPEN", 
,,,float,Sensor,Cargo,Trailer.Cargo.Compartment1.Humidity,Compartment 1 humidity,This parameter indicates the value of the compartment 1 humidity.,0 - 125 ,Percentage
,,,float,Sensor,Cargo,Trailer.Cargo.Compartment2.Humidity,Compartment 2 humidity,This parameter indicates the value of the compartment 2 humidity.,0 - 125 ,Percentage
,,,float,Sensor,Cargo,Trailer.Cargo.Compartment3.Humidity,Compartment 3 humidity,This parameter indicates the value of the compartment 3 humidity.,0 - 125 ,Percentage
,,,float,Sensor,Cargo,Trailer.Cargo.Compartment1.Oxygen,Compartment 1 oxygen concentration,This parameter indicates the value of the compartment 1 oxygen concentration.,0 - 125 ,Percentage
,,,float,Sensor,Cargo,Trailer.Cargo.Compartment2.Oxygen,Compartment 2 oxygen concentration,This parameter indicates the value of the compartment 2 oxygen concentration.,0 - 125 ,Percentage
,,,float,Sensor,Cargo,Trailer.Cargo.Compartment3.Oxygen,Compartment 3 oxygen concentration,This parameter indicates the value of the compartment 3 oxygen concentration.,0 - 125 ,Percentage
,,,,,,,BAU type,"This parameter assigned by the manufacturer indicates the main function of the BAU. Table 13 specifies the
parameter attributes.","LIFTING_UNIT
HEATING_REFRIGERATING_UNIT
REFUSE_COLLECTION_UNIT
CONTAINER_UNIT
TIPPER_UNIT
FIRE_FIGHTING_UNIT", 
,,,,,,,Next maintenance day,This parameter provides the day of the next maintenance date information. ,1 _ 31, 
,,,,,,,Next maintenance month,This parameter provides the month of the next maintenance date information.,January to December, 
,,,,,,,Next maintenance year,This parameter provides the year of the next maintenance date information.,1985 _ 2235,
,,,,,,,Lifting unit categories,"LUs include any kind of BAUs or BAU sub-parts with the capability to hoist goods, material, etc","VEHICLE_MOUNTED_CRANE_UNIT
TAIL_LIFT_UNIT", 
,,,,,,,Tail-lift unit ,"The TLU comprises a mechanical device permanently installed on the rear of a commercial vehicle. It is
designed to facilitate the materials handling of goods from ground level or a loading dock to the level of the
vehicle bed, or vice versa.","PARALLEL_ARM_LIFT
RAILGATE_LIFT
COLUMN_LIFT
CANTILEVER_LIFT
TUK_UNDER_LIFT
SLIDER_SINGLE_FOLDED_LIFT
SLIDER_DOUBLE_FOLDER_LIFT
PASSENGER_LIFT_ROAD_VEHICLE
PASSENGER_LIFT_TRAIN
", 
,,,,,,,Tail-lift position status,specifies the position status of tail-lifts,"UNKNOWN_POSITION
DRIVING_POSITION
WORKING_POSITION
PLATFORM_CLOSED
PLATFORM_OPEN
FLOOR_BED_HEIGHT
GROUND
BETWEEN_FLOOR_BED_HEIGHT_AND_GROUND
STOWED_POSITION
WORKING_POSITION
HORIZONTAL_POSITION_1
HORIZONTAL_POSITION_2
HORIZONTAL_POSITION_3
MOVEABLE_REAR_UNDERRUN_PROTECTION_DEVICE_POSITION_TRUCK
MOVEABLE_REAR_UNDERRUN_PROTECTION_DEVICE_POSITION_TRUCK_TRAILER
ERROR
NOT_AVAILABLE", 
,,,enum,Sensor,Cargo,Trailer.Cargo.HRU.Configuration,Heating and refrigerating unit  classes,"HRUs control the temperature of the truck’s, semitrailer’s, or trailer’s cargo space. In case of vehicles
transporting containers with embedded HRUs, the HRUs are connected temporarily.","GENERIC
CARGO_SPACE_SINGLE_TEMPERATURE
CARGO_SPACE_MULTI_TEMPERATURE
CONTAINER_SPACE_SINGLE_TEMPERATURE
CONTAINER_SPACE_MULTI_TEMPERATURE", 
,,,uint8,Sensor,Cargo,Trailer.Cargo.HRU.CompartmentNo,HRU compartment number,This parameter provides the sources of the measured parameters by means of the HRU compartment number,0 to 15, 
,,,float,Sensor,Cargo,Trailer.Cargo.HRU.SetPoint.Temperature,HRU temperature setpoint command,This parameter provides the temperature setpoint for HRU compartments,-273 to 1734.96875 °C,Celsius
,,,float,Sensor,Cargo,Trailer.Cargo.HRU.ReturnAir.Temperature,HRU return air temperature,This parameter provides the return air temperature measured at evaporator input.,-273 to 1734.96875 °C,Celsius
,,,float,Sensor,Cargo,Trailer.Cargo.HRU.Supply.Temperature,HRU supply air temperature,This parameter provides the supply air temperature measured at evaporator output,-273 to 1734.96875 °C,Celsius
,,,float,Sensor,Cargo,Trailer.Cargo.HRU.Evaporator.Temperature,HRU evaporator temperature,This parameter provides the temperature of the evaporator.,-273 to 1734.96875 °C,Celsius
,,,float,Sensor,Cargo,Trailer.Cargo.HRU.Ambient.Temperature,HRU ambient temperature,This parameter provides the ambient temperature measured by the HRU.,-273 to 1734.96875 °C,Celsius
